Study Program,Courses,Description
B.Sc. Computer Engineering (Software Engineering)  PO19 - B-CE(SE)-19,Measurement Technology,metrology measurement technology approximation data analysis expression measurement measurement electric quantities dc ac practical analog digital data sensoric techniques measurement electric quantities electric devices
B.Sc. Computer Engineering (Software Engineering)  PO19 - B-CE(SE)-19,Mechanics I1,vector kinematics geometry motion dynamics motion kinematics dynamics particle motion
B.Sc. Computer Engineering (Software Engineering)  PO19 - B-CE(SE)-19,Network Analysis,analysis linear electric networks frame linear laws electric networks analysis electric networks circuits complex network electrically transformations delta transformation transformation complex transformation complex quantities electric dc ac circuits network analysis magnetic circuits thermal circuits
B.Sc. Computer Engineering (Software Engineering)  PO19 - B-CE(SE)-19,Non-technical Catalog BA 1,technical technical
B.Sc. Computer Engineering (Software Engineering)  PO19 - B-CE(SE)-19,Fundamentals of Programming,programming technical scientific embedded solutions network communication algorithmic procedural implementation programming techniques modular programs practical algorithms design algorithm preprocessor compiler atomic data formatted arrays sorting pointers dynamic memory allocation memory dynamic data lists stacks queues
B.Sc. Computer Engineering (Software Engineering)  PO19 - B-CE(SE)-19,Fundamentals of Programming Lab,practical characters calculating formulas implementing quizzes loops loop recursive calls formulas arrays vector matrix calculations vector matrix parameters pointers data arrays strings parameters dynamic memory storage handling stack queue
B.Sc. Computer Engineering (Software Engineering)  PO19 - B-CE(SE)-19,Logical Design of Digital Systems,digital circuit design logical algebra karnaugh combinatorial sequential circuits algorithmic minimization cluskey moore algorithm circuits computer memory programmable logig devices testing digital ciruits
B.Sc. Computer Engineering (Software Engineering)  PO19 - B-CE(SE)-19,Logical Design of Digital Systems Lab,practical lab simulation analyze memory software tools programmable logic digital circuits tectronix lv
B.Sc. Computer Engineering (Software Engineering)  PO19 - B-CE(SE)-19,Mathematics I2,mathematics multidimensional vector curves ir derivatives extrema vectorfields integrals integrals ode laplace fourier pde fourier
B.Sc. Computer Engineering (Software Engineering)  PO19 - B-CE(SE)-19,Non-technical Catalog BA 2,technical technical
B.Sc. Computer Engineering (Software Engineering)  PO19 - B-CE(SE)-19,Physics,vectors equation linear motion elastic inelastic collision oscillations waves oscillations waves acoustic waves sound intensity sound db scale optics geometrical optics prism lenses mirror snell light imaging relativistic
B.Sc. Computer Engineering (Software Engineering)  PO19 - B-CE(SE)-19,Physics Lab,experiment physics thermodynamics optics atomic physics experiment experiment experiment measurement analysis error analysis
B.Sc. Computer Engineering (Software Engineering)  PO19 - B-CE(SE)-19,Static and Stationary Fields,physical laws static electric magnetic electrical magnetic faraday maxwell equations integral
B.Sc. Computer Engineering (Software Engineering)  PO19 - B-CE(SE)-19,Computer Networks and Communication Systems,hardware computer networks technology network hardware computer networks media topologies technology ethernet fx gigabit ethernet fddi atm wireless lan dsl techniques tcp ip ipsec network client server sockets internet dns ftp www
B.Sc. Computer Engineering (Software Engineering)  PO19 - B-CE(SE)-19,Discrete Mathematics,counting lists lists lists multisets permutations generating graph adjacency lists adjacency matrices euler spanning networks algebraic arithmetics modular arithmetic polynomials codes cryptographie correcting errors
B.Sc. Computer Engineering (Software Engineering)  PO19 - B-CE(SE)-19,Economics for Engineers,economics volumes production finance capital budgeting
B.Sc. Computer Engineering (Software Engineering)  PO19 - B-CE(SE)-19,Object-oriented Programming,programming oop implementations programming software behaviour encapsulation setter getter modularity hierarchy polymorphism protection constructors destructors dynamic memory allocation operators static dynamic virtual virtual handling generic programming
B.Sc. Computer Engineering (Software Engineering)  PO19 - B-CE(SE)-19,Object-oriented Programming Lab,practical programming homeworks handling data files hierarchies dynamic heap
B.Sc. Computer Engineering (Software Engineering)  PO19 - B-CE(SE)-19,Probability Calculus and Statistics,probability calculation probability discrete distributions binomial distribution markov stochastic matrixes hypothesis error
B.Sc. Computer Engineering (Software Engineering)  PO19 - B-CE(SE)-19,Scientific Working,scientific scientific scientific
B.Sc. Computer Engineering (Software Engineering)  PO19 - B-CE(SE)-19,Automata and Formal Languages,computer science compiler verification modeling handling automata chomsky hierarchy syntax automata pumping lemma equivalence automata decidability verification pumping lemma cyk algorithm automata deterministic decidability xml dtds turing machines
B.Sc. Computer Engineering (Software Engineering)  PO19 - B-CE(SE)-19,Computer Architecture,architecture computers processors architectures neumann microprocessors pcs architectures computing data memory register stacks dma cpu interrupts dma bussystems usb pci microarchitecture microprogramming risc cisc processors piplining computer architectures core cpus vector computers clusters grid computing computing
B.Sc. Computer Engineering (Software Engineering)  PO19 - B-CE(SE)-19,Computer Based Engineering Mathematics,computer engineering mathematics designed solve engineering mathematics softwares matlab linear equations lu decomposition cholesky factorization accuracy solutions iterative solution gauss seidel jacobi linear curve linear equations equation taylor linearization iteration newton jacobian fixpoints bifurcations singularities accuracy solution parameter equation curve linear curve iii differential equations ivp bvp discretization vibration equation heat equation
